web_scraper_order,web_scraper_start_url,pagination,price,brand_name,product_name,image,item_page_title,item_page_link,data,data_1,Product_Name,product_image_url,size_availability,text_5,product_description
1771968994-127,https://www.shopbop.com/clothing/br/v=1/13266.htm,https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=16900,Previous Price €250.15,The Lulo Project,Hacienda Top,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/lulop/lulop300962618a/lulop300962618a_1749740415079_2-0._QL90_UX1128_.jpg,The Lulo ProjectHacienda TopPrevious Price €250.15Sale Price €50.03,https://www.shopbop.com/hacienda-top-lulo-project/vp/v=1/1529632892.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2055491264&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_74,The Lulo Project,Hacienda Top,The Lulo ProjectHacienda Top,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/lulop/lulop300962618a/lulop300962618a_1749740415079_2-0._QL90_UX1128_.jpg,,"Model measurements:
Size XS: Maia (5'10"") usually wears size XSView all model measurementsMeasurements from size XS
Length: 21.75in / 55.0cm, from shoulderThe Lulo Project Size Guide","Fabric: Lightweight stretch weave

Daisy print

Ruffled hem

Square neckline

Long sleeves with elastic cuffs

Button placket

Shell: 96% cotton/4% elastane

Wash cold

Imported, Colombia"
1771968997-128,https://www.shopbop.com/clothing/br/v=1/13266.htm,https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=16900,Previous Price €165.35,La Ligne,Mallory Tank,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/lalig/lalig3021122e69/lalig3021122e69_1750100177147_2-0._QL90_UX1128_.jpg,La LigneMallory TankPrevious Price €165.35Sale Price €33.07,https://www.shopbop.com/mallory-tank-ligne/vp/v=1/1525048180.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2057076804&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_73,La Ligne,Mallory Tank,La LigneMallory Tank,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/lalig/lalig3021122e69/lalig3021122e69_1750100177147_2-0._QL90_UX1128_.jpg,,"Model measurements:
Size S: Lola (5'8"") usually wears size SView all model measurementsMeasurements from size S
Length: 18in / 46.0cm, from shoulderSize Conversions","Fabric: Lightweight crochet knit

Contrast hem

V neck

Shell: 100% cotton

Hand wash or dry clean

Imported, China"
1771969001-129,https://www.shopbop.com/clothing/br/v=1/13266.htm,https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=16900,Previous Price €186.55,Bec + Bridge,Freya Bubble Mini Dress,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/becbr/becbr406071a530/becbr406071a530_1747172560639_2-0._QL90_UX1128_.jpg,Bec + BridgeFreya Bubble Mini DressPrevious Price €186.55Sale Price €37.31,https://www.shopbop.com/freya-bubble-mini-dress-bec/vp/v=1/1509235081.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2005881903&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_72,Bec + Bridge,Freya Bubble Mini Dress,Bec + BridgeFreya Bubble Mini Dress,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/becbr/becbr406071a530/becbr406071a530_1747172560639_2-0._QL90_UX1128_.jpg,"12

14

16","Features a fitted bodice and a bubble skirt. Cotton poplin fabric has a smooth feel and offers no stretch.Shopbop’s expert stylist says: Runs true to sizeModel measurements:
Size 6: Brianna (5'9"") usually wears size 4View all model measurementsMeasurements from size 6
Length: 32in / 81.0cm, from shoulderBec + Bridge Size Guide","Fabric: Lightweight, non-stretch poplin

Ribbed knit bodice

Bubble hem

Ruching at front

Halter neckline

Pullover design, no closure

Shell: 95% cotton/5% elastane

Trim: 100% cotton

Hand wash

Imported, China

Sleeveless"
1771969004-130,https://www.shopbop.com/clothing/br/v=1/13266.htm,https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=16900,Previous Price €500.30,Azulu,Milena Dress,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/azulu/azulu3004410366/azulu3004410366_1744659085063_2-0._QL90_UX1128_.jpg,AzuluMilena DressPrevious Price €500.30Sale Price €100.06,https://www.shopbop.com/milena-dress-azulu/vp/v=1/1535399204.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2083765797&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_71,Azulu,Milena Dress,AzuluMilena Dress,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/azulu/azulu3004410366/azulu3004410366_1744659085063_2-0._QL90_UX1128_.jpg,,"Model measurements:
Size S: Drew (5'8"") usually wears size XS-SView all model measurementsMeasurements from size S
Length: 30.25in / 77.0cm, from shoulderAzulu Size Guide","Fabric: Lightweight, non-stretch linen weave

Optional beaded shoulder straps

Allover ruching

Bubble hem

Mini length

Square neckline

Hook-and-eye and hidden zip at back

Shell: 100% linen

Lined

Lining: 100% viscose

Dry clean

Imported, Colombia"
1771969007-131,https://www.shopbop.com/clothing/br/v=1/13266.htm,https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=16900,Previous Price €89.04,Eugenia Kim LOVE,Sofia Top,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/euglv/euglv3000429111/euglv3000429111_1744229273898_2-0._QL90_UX1128_.jpg,Eugenia Kim LOVESofia TopPrevious Price €89.04Sale Price €17.81,https://www.shopbop.com/sofia-top-eugenia-kim-love/vp/v=1/1554906466.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2044407134&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_70,Eugenia Kim LOVE,Sofia Top,Eugenia Kim LOVESofia Top,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/euglv/euglv3000429111/euglv3000429111_1744229273898_2-0._QL90_UX1128_.jpg,,"Model measurements:
Size S: Megumi (5'9.5"") usually wears size XS-SView all model measurementsMeasurements from size S
Length: 23.5in / 60.0cm, from shoulderSize Conversions","Fabric: Lightweight activewear jersey

Snap keyhole at back

Halter neckline

Shell: 82% nylon/18% spandex

Wash cold

Imported, China"
1771969012-132,https://www.shopbop.com/clothing/br/v=1/13266.htm,https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=16900,Previous Price €262.87,RE/DONE,The Surf Pants,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/redon/redon3108110461/redon3108110461_1751055652110_2-0._QL90_UX1128_.jpg,RE/DONEThe Surf PantsPrevious Price €262.87Sale Price €52.57,https://www.shopbop.com/surf-pant-re-done/vp/v=1/1552347183.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2057621117&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_69,RE/DONE,The Surf Pants,RE/DONEThe Surf Pants,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/redon/redon3108110461/redon3108110461_1751055652110_2-0._QL90_UX1128_.jpg,,"Model measurements:
Size 25: Margaret (5'11"") usually wears size 24View all model measurementsMeasurements from size 26
Rise: 11in / 28cm
Inseam: 30.25in / 77cm
Leg opening: 19in / 48cmSize Conversions","Fabric: Lightweight, non-stretch twill

Lace-up front with metal grommets

Zip fly

On-seam side pockets and welt back pockets

Shell: 93% viscose/7% polyester

Wash cold

Imported, China"
1771969016-133,https://www.shopbop.com/clothing/br/v=1/13266.htm,https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=16900,Previous Price €109.39,Z Supply,Soria Crochet Skirt,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/zsupp/zsupp3142629687/zsupp3142629687_1742246594051_2-0._QL90_UX1128_.jpg,Z SupplySoria Crochet SkirtPrevious Price €109.39Sale Price €21.88,https://www.shopbop.com/soria-crochet-skirt-z-supply/vp/v=1/1597036204.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2005919152&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_68,Z Supply,Soria Crochet Skirt,Z SupplySoria Crochet Skirt,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/zsupp/zsupp3142629687/zsupp3142629687_1742246594051_2-0._QL90_UX1128_.jpg,"XS

M

L

XL","Model measurements:
Size XS: Mia (5'9.5"") usually wears size XSView all model measurementsMeasurements from size XS
Length: 33.75in / 86.0cmZ Supply Size Guide","Fabric: Mid-weight, super-stretch crochet

Covered elastic waistband

Shell: 56% rayon/44% cotton

Partially lined

Hand wash or dry clean

Imported, China"
1771969020-134,https://www.shopbop.com/clothing/br/v=1/13266.htm,https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=16900,Previous Price €754.68,Rosetta Getty,Pull On Cropped Flare Pants,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/rgett/rgett3024938212/rgett3024938212_1750957104017_2-1._QL90_UX1128_.jpg,Designer BoutiqueRosetta GettyPull On Cropped Flare PantsPrevious Price €754.68Sale Price €150.94,https://www.shopbop.com/pull-cropped-flare-rosetta-getty/vp/v=1/1504892329.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2051619387&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_DB_67,Rosetta Getty,Pull On Cropped Flare Pants,Rosetta GettyPull On Cropped Flare Pants,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/rgett/rgett3024938212/rgett3024938212_1750957104017_2-1._QL90_UX1128_.jpg,,"Model measurements:
Size XS: Eyshila (5'10"") usually wears size XSView all model measurementsMeasurements from size S
Rise: 9.75in / 25cm
Inseam: 28in / 71cm
Leg opening: 22in / 56cmSize Conversions","Fabric: Mid-weight jacquard jersey with stretch

Pinstripe pattern

Covered elastic waistband

Shell: 82% viscose/13% polyamide/5% elastane

Dry clean

Made in the USA"
1771969023-135,https://www.shopbop.com/clothing/br/v=1/13266.htm,https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=16900,Previous Price €496.06,Rosetta Getty,Strapless Bandeau,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/rgett/rgett3024838212/rgett3024838212_1750957065496_2-0._QL90_UX1128_.jpg,Designer BoutiqueRosetta GettyStrapless BandeauPrevious Price €496.06Sale Price €99.21,https://www.shopbop.com/strapless-bandeau-rosetta-getty/vp/v=1/1585603897.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2091231928&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_DB_66,Rosetta Getty,Strapless Bandeau,Rosetta GettyStrapless Bandeau,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/rgett/rgett3024838212/rgett3024838212_1750957065496_2-0._QL90_UX1128_.jpg,,"Model measurements:
Size XS: Eyshila (5'10"") usually wears size XSView all model measurementsMeasurements from size XS
Length: 11in / 28.0cm, from center backSize Conversions","Fabric: Mid-weight jacquard jersey with stretch

Pinstripe print

Strapless

Sleeveless

Hook-and-eye and hidden zip at back

Shell: 81% viscose/18% polyamide/1% elastane

Dry clean

Made in the USA"
1771969026-136,https://www.shopbop.com/clothing/br/v=1/13266.htm,https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=16900,Previous Price €312.05,rag & bone,Logan Faux Leather Wide Leg Pants,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ragbo/ragbo47886235d8/ragbo47886235d8_1759158637384_2-0._QL90_UX1128_.jpg,rag & boneLogan Faux Leather Wide Leg PantsPrevious Price €312.05Sale Price €62.41,https://www.shopbop.com/logan-faux-leather-wide-leg/vp/v=1/1530270208.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2061051284&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_65,rag & bone,Logan Faux Leather Wide Leg Pants,rag & boneLogan Faux Leather Wide Leg Pants,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ragbo/ragbo47886235d8/ragbo47886235d8_1759158637384_2-0._QL90_UX1128_.jpg,,"Model measurements:
Size 25: Cher (5'11"") usually wears size 24-25View all model measurementsMeasurements from size 24
Rise: 10.25in / 26cm
Inseam: 30.75in / 78cm
Leg opening: 19in / 48cmrag & bone Size Guide","Fabric: Mid-weight faux leather with stretch

Polyurethane coating

Metallic finish

Button closure and zip fly

5-pocket styling

Shell: 100% polyester

Dry clean

Imported, Vietnam"
1771969030-137,https://www.shopbop.com/clothing/br/v=1/13266.htm,https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=16900,Previous Price €108.54,NIA,Cabaello Dress,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/niaaa/niaaa300551c925/niaaa300551c925_1749757889224_2-0._QL90_UX1128_.jpg,NIACabaello DressPrevious Price €108.54Sale Price €21.71,https://www.shopbop.com/cabaello-dress-nia/vp/v=1/1561234030.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2077510339&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_64,NIA,Cabaello Dress,NIACabaello Dress,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/niaaa/niaaa300551c925/niaaa300551c925_1749757889224_2-0._QL90_UX1128_.jpg,"XS

S

M

L

XL","Model measurements:
Size XS: Brittany (5'9.5"") usually wears size XSView all model measurementsMeasurements from size XS
Length: 32in / 81.0cm, from shoulderNIA Size Guide","Fabric: Lightweight, non-stretch weave

Drop waist

Fixed bow accent at bust

Picot trim and eyelet pattern

Mini length

V neck

Sleeveless

Hook-and-eye and hidden zip at back

Shell: 100% cotton

Lined

Lining: 97% polyester/3% spandex

Hand wash

Imported, China"
